Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,image_url,image_url2
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2023-08-31,239797404000,7039000000,46.4,1.481,34.6,0.0,0.0,11.35,41.11,0.271,0.34,0.144,0.34,18886001000,15441000000,11.35,0.26,0.103,604.07,46.4,22.22,8.89,10.99,9.13,22.68,1.336,570.24,276.6,529.31,426.73,455300000,None,2005-03-24,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/ADBE.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/ADBE.png
ADP,Common Stock,Automatic Data Processing Inc,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.",8670,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"ONE ADP BOULVARD, ROSELAND, NJ, US",June,2023-06-30,101501665000,5108700000,30.05,2.947,8.52,4.79,0.0208,8.2,43.54,0.189,0.253,0.05,1.013,18012201000,8510000000,8.2,0.262,0.085,259.4,30.05,31.95,6.11,41.87,6.72,24.22,0.825,270.44,199.3,248.03,229.28,411972000,2023-10-01,2023-09-07,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/ADP.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/ADP.png
ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. is an American company that operates an online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities, based in San Francisco, California.",1559720,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"888 BRANNAN ST., SAN FRANCISCO, CA, US",December,2023-06-30,79754117000,1976900000,39.18,None,8.02,0.0,0.0,3.19,14.3,0.253,0.215,0.0608,0.446,9088000000,6900000000,3.19,0.762,0.181,142.83,39.18,30.67,7.14,10.74,6.5,28.41,1.298,154.95,81.91,136.99,121.39,426359000,None,None,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/ABNB.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/ABNB.png
ALGN,Common Stock,Align Technology Inc,"Align Technology is a manufacturer of 3D digital scanners and the Invisalign clear aligners used in orthodontics. It is headquartered in San Jose, California.",1097149,NASDAQ,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","2820 ORCHARD PARKWAY, SAN JOSE, CA, US",December,2023-06-30,21784551000,713589000,72.06,10.8,47.54,0.0,0.0,3.95,48.37,0.084,0.154,0.0602,0.0868,3737183000,2636675000,3.95,0.015,0.034,395.42,72.06,25.06,4.083,4.14,3.707,16.42,1.629,413.2,172.05,339.05,314.46,76534000,None,None,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/ALGN.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/ALGN.png
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,2023-06-30,1739988140000,91374002000,29.46,1.34,21.15,0.0,0.0,4.67,22.55,0.21,0.264,0.13,0.233,289531003000,156633000000,4.67,0.191,0.071,150.14,29.46,17.79,4.173,4.852,4.057,12.16,1.06,139.16,83.34,132.57,113.07,5933000000,None,None,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/GOOGL.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/GOOGL.png
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,2023-06-30,1708659966000,91374002000,28.39,1.344,21.15,0.0,0.0,4.79,22.55,0.21,0.264,0.13,0.233,289531003000,156633000000,4.79,0.191,0.071,142.3,28.39,17.83,4.179,4.864,4.057,12.16,1.06,139.93,83.45,133.14,113.47,5801000000,None,None,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/GOOG.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/GOOG.png
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",December,2023-06-30,1320265712000,63431000000,102.37,11.85,16.35,0.0,0.0,1.25,52.56,0.0243,0.0329,0.0247,0.0871,538046005000,225152000000,1.25,-0.986,0.108,170.48,102.37,43.86,1.797,6.61,1.948,19.3,1.188,145.86,81.43,134.53,114.11,10317800000,None,None,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/AMZN.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/AMZN.png
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,2023-06-30,173264454000,3100000000,None,0.902,34.16,0.0,0.0,-0.04,13.55,-0.0011,-0.0173,-0.0035,-0.0005,21876001000,12051000000,-0.04,-0.938,-0.182,137.34,-,18.02,4.699,2.038,4.75,18.86,1.797,132.83,54.57,106.2,96.83,1615670000,None,1995-04-27,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/AMD.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/AMD.png
AEP,Common Stock,American Electric Power Company Inc,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",4904,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1 RIVERSIDE PLAZA, COLUMBUS, OH, US",December,2023-06-30,37190558000,6807700000,18.8,3.045,46.4,3.27,0.0456,3.84,37.87,0.102,0.192,0.025,0.0819,19470600000,8414100000,3.84,-0.01,-0.058,93.57,18.8,18.62,2.61,2.085,4.69,12.14,0.462,97.49,69.38,78.73,86.99,515176000,2023-09-08,2023-08-09,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/AEP.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/AEP.png
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,2023-06-30,143069970000,13763000000,18.04,1.55,12.68,8.14,0.0326,14.83,49.73,0.3,0.384,0.0854,1.735,26582000000,19917000000,14.83,0.049,0.059,264.74,18.04,14.95,5.49,39.6,6.53,13.85,0.614,287.01,210.01,257.83,243.81,534901000,2023-09-08,2023-08-17,http://investor-data-bucket.s3.us-west-1.amazonaws.com/company_icon/AMGN.png,https://unidatafrontend.s3.us-west-2.amazonaws.com/company_icon/AMGN.png
