symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ADBE,2023-09-01,USD,1873000000,None,None,None,None,218000000,91000000,168000000,None,1403000000,145000000,-871000000,None,1000000000,0,None,None,None,None,None,None,None,0,244000000,None,None,1403000000
ADBE,2022-09-02,USD,1704000000,51000000,None,-77000000,134000000,216000000,125000000,141000000,None,1136000000,-103000000,-1060000000,None,1200000000,1200000000,None,None,None,None,None,None,None,-1013000000,187000000,None,None,1136000000
ADBE,2022-06-03,USD,2040000000,0,None,200000000,-143000000,212000000,126000000,-96000000,None,1178000000,-138000000,-1250000000,None,1200000000,1200000000,None,None,None,None,None,None,None,-1200000000,0,None,None,1178000000
ADBE,2022-03-04,USD,1769000000,50000000,None,-347000000,-4000000,213000000,100000000,-191000000,None,1266000000,-260000000,-2604000000,None,2400000000,2400000000,None,None,None,None,None,None,None,-2309000000,91000000,None,None,1266000000
ADBE,2021-12-03,USD,2066000000,116000000,None,160000000,377000000,205000000,99000000,325000000,363000000,1233000000,-1739000000,-1078000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-999000000,1000000,-751000000,-28000000,1233000000
ADBE,2021-09-03,USD,1404000000,50000000,None,-76000000,231000000,193000000,95000000,66000000,47000000,1212000000,-133000000,-899000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-797000000,203000000,1212000000,1000000,1212000000
ADBE,2021-06-04,USD,1988000000,0,None,290000000,-27000000,194000000,95000000,-43000000,-101000000,1116000000,-107000000,-1080000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-1000000000,0,1116000000,-3000000,1116000000
ADBE,2021-03-05,USD,1772000000,50000000,None,-230000000,324000000,196000000,59000000,82000000,141000000,1261000000,-1558000000,-1244000000,None,950000000,950000000,None,None,None,None,None,None,None,-863000000,87000000,-1030000000,4000000,1261000000
ADP,2023-06-30,USD,1185700000,1496100000,None,346700000,322600000,140400000,140900000,-49100000,None,776700000,-464500000,-9994500000,0,303900000,303900000,None,517500000,517500000,None,None,0,None,-303900000,None,-9273300000,None,776700000
ADP,2023-03-31,USD,1404100000,74500000,None,42000000,116600000,137000000,157200000,-81200000,None,1043100000,-583400000,3938100000,0,264000000,264000000,None,520600000,520600000,None,None,0,None,-264000000,None,4758800000,None,1043100000
ADP,2022-12-31,USD,899700000,79600000,None,126200000,486500000,136800000,141800000,202600000,None,813100000,108200000,6678300000,0,220200000,220200000,None,432600000,432600000,None,None,0,None,-220200000,None,7686200000,None,813100000
ADP,2022-09-30,USD,718100000,90200000,None,-225400000,302500000,135100000,131700000,-201500000,None,779000000,-1577600000,-16302600000,0,333300000,333300000,None,432900000,432900000,None,None,0,None,-333300000,None,-17162100000,None,779000000
ADP,2022-06-30,USD,912900000,1166000000,None,44200000,274400000,130500000,144300000,-47100000,None,625500000,-1050700000,-8725300000,0,487500000,487500000,None,434300000,434300000,None,None,-7300000,None,-487500000,None,-8863100000,None,625500000
ADP,2022-03-31,USD,971000000,55600000,None,445600000,775900000,129000000,152600000,507600000,None,928500000,-2495300000,12714000000,0,491400000,491400000,None,437700000,437700000,None,None,7300000,None,-491400000,None,928500000,None,928500000
ADP,2021-12-31,USD,1093700000,40600000,None,92500000,148600000,126500000,127400000,-25800000,None,694400000,-2232000000,-1520100000,0,462500000,462500000,None,393800000,393800000,None,None,0,None,-462500000,None,694400000,None,694400000
ADP,2021-09-30,USD,121900000,57000000,None,-475700000,546000000,129100000,129100000,51800000,-3286000000,700500000,-1236400000,11184800000,0,528000000,528000000,None,393200000,393200000,None,None,0,None,-528000000,None,10070300000,None,700500000
ADP,2021-06-30,USD,652800000,1244800000,None,100900000,210000000,126000000,120400000,-25400000,-2808600000,538200000,-1148600000,-6486200000,0,469800000,469800000,None,396000000,396000000,None,None,990400000,None,-469800000,None,-6982000000,None,538200000
ADP,2021-03-31,USD,1252200000,59100000,None,479600000,429400000,126900000,156400000,278700000,-1807900000,810700000,-1416800000,4172200000,0,427400000,427400000,None,397800000,397800000,None,None,0,None,-427400000,None,810700000,None,810700000
ABNB,2023-06-30,USD,909000000,39000000,None,-155000000,52000000,9000000,9000000,None,None,650000000,-20000000,167000000,None,507000000,507000000,None,None,None,None,None,0,None,-470000000,None,1056000000,None,650000000
ABNB,2023-03-31,USD,1587000000,12000000,None,250000000,31000000,11000000,6000000,None,None,117000000,-183000000,2286000000,None,493000000,493000000,None,None,None,None,None,0,None,-476000000,None,3690000000,None,117000000
ABNB,2022-12-31,USD,462698000,118581000,None,-7275000,41015000,-28574000,8394000,None,None,318663000,-143271000,-764430000,None,500000000,500000000,None,None,None,None,None,0,None,-451452000,None,-445003000,None,318663000
ABNB,2022-09-30,USD,964302000,25717000,None,205772000,3955509000,13856000,5599000,None,None,1214288000,-55729000,-3573570000,None,1000000000,1000000000,None,None,None,None,None,0,None,-997351000,None,-2664253000,None,1214288000
ABNB,2022-06-30,USD,801000000,16396000,None,-37689000,-1392607000,27045000,5048000,None,None,378841000,368000000,1445000000,None,0,0,None,None,None,None,None,0,None,25151000,None,378841000,None,379000000
ABNB,2022-03-31,USD,1202000000,17306000,None,132192000,-2377917000,30273000,5959000,None,None,-18792000,-197000000,2204000000,None,0,0,None,None,None,None,None,0,None,11652000,None,3208541000,None,-19000000
ABNB,2021-12-31,USD,382236000,97453000,None,9500000,180570000,-29277000,4458000,None,None,54501000,-329481000,-147727000,None,None,None,None,None,None,None,None,0,None,58141000,None,-95074000,None,54535000
ABNB,2021-09-30,USD,534734000,5225000,None,11992000,2345028000,34727000,5506000,None,None,833893000,-175749000,-2327505000,None,None,None,None,None,None,None,None,0,None,20733000,None,833893000,None,833893000
ABNB,2021-06-30,USD,789654000,7534000,None,106409000,-2232701000,36493000,7652000,None,None,-68217000,325516000,2327706000,None,None,None,None,None,None,None,None,0,None,61526000,None,-68217000,None,-68217000
ABNB,2021-03-31,USD,606376000,49257000,None,77175000,-1864384000,43657000,7706000,None,None,-1172211000,-1172286000,1455526000,None,None,None,None,None,None,None,None,1979166000,None,47793000,None,889616000,None,-1172211000
ALGN,2023-06-30,USD,251777000,300000,None,-29576000,35839000,35819000,58545000,40946000,4944000,111814000,-125485000,-931000,None,0,0,None,None,None,None,0,None,None,0,None,125361000,None,111814000
ALGN,2023-03-31,USD,199895000,11571000,None,8112000,35576000,35820000,64119000,32734000,-24008000,87824000,-52829000,-258961000,None,292360000,292360000,None,None,None,None,14256000,None,None,-278104000,None,-111895000,None,87798000
ALGN,2022-12-31,USD,144707000,4807000,None,-12115000,65382000,33697000,53204000,10735000,21573000,-26300000,-55810000,-200188000,None,160000000,160000000,None,None,None,None,0,None,None,-160000000,None,None,None,41775000
ALGN,2022-09-30,USD,266482000,8262000,None,7520000,-50061000,32189000,75348000,-85746000,17464000,72700000,-85428000,10898000,None,0,0,None,None,None,None,11322000,None,None,11322000,None,191952000,None,72700000
ALGN,2022-06-30,USD,127045000,7756000,None,-38031000,5078000,30281000,76020000,-2081000,41605000,112809000,18120000,-200654000,None,200000000,200000000,None,None,None,None,0,None,None,-200000000,None,-55489000,None,112800000
ALGN,2022-03-31,USD,30498000,7292000,None,12430000,153663000,29626000,87328000,55543000,49455000,134298000,-90198000,-111742000,None,75036000,75036000,None,None,None,None,14827000,None,None,-60209000,None,-171442000,None,134298000
ALGN,2021-12-31,USD,272849000,211452000,None,-1562000,125076000,29588000,109096000,45985000,29201000,191009000,-307711000,-101573000,None,100000000,100000000,None,None,None,None,0,None,None,-100000000,None,-136435000,None,190961000
ALGN,2021-09-30,USD,355004000,7596000,None,31959000,90042000,27614000,124334000,51259000,34179000,180969000,-131799000,-65003000,None,115038000,115038000,None,None,None,None,12490000,None,None,-102548000,None,236985000,None,180969000
ALGN,2021-06-30,USD,317504000,7107000,None,12815000,166161000,25892000,124237000,97399000,33488000,199714000,-128486000,-238321000,None,160000000,160000000,None,None,None,None,0,None,None,-160000000,None,254461000,None,199714000
ALGN,2021-03-31,USD,227187000,6923000,None,-11016000,117863000,25635000,43431000,67423000,15582000,200376000,4566000,-53435000,None,0,0,None,None,None,None,13133000,None,None,13133000,None,178318000,None,200376000
GOOGL,2023-06-30,USD,28666000000,None,None,1762000000,3461000000,3397000000,6888000000,2948000000,130000000,18368000000,-10800000000,-17835000000,None,14969000000,14969000000,None,None,None,None,None,None,None,-14969000000,None,31000000,None,18368000000
GOOGL,2023-03-31,USD,23509000000,None,None,-5802000000,-3708000000,3186000000,6289000000,-4454000000,None,15051000000,-2946000000,-16568000000,None,14557000000,14557000000,None,None,None,None,None,None,None,-14557000000,None,3995000000,None,15051000000
GOOGL,2022-12-31,USD,23614000000,None,None,3659000000,5393000000,4201000000,7595000000,4615000000,None,13624000000,-6227000000,-17629000000,None,15407000000,15407000000,None,None,None,None,None,None,None,-15407000000,None,-242000000,None,13624000000
GOOGL,2022-09-30,USD,23353000000,None,None,4229000000,2744000000,4046000000,7276000000,97000000,None,13910000000,-833000000,-18097000000,None,15392000000,15392000000,None,None,None,None,None,None,None,-15392000000,None,4423000000,None,13910000000
GOOGL,2022-06-30,USD,19422000000,None,None,2784000000,2814000000,3899000000,6828000000,1969000000,None,16002000000,-4187000000,-17817000000,None,15197000000,15197000000,None,None,None,None,None,None,None,-15197000000,None,-2582000000,None,16002000000
GOOGL,2022-03-31,USD,25106000000,None,None,-5683000000,-3588000000,3782000000,9786000000,-4364000000,None,16436000000,-9051000000,-16214000000,None,13300000000,13300000000,None,None,None,None,None,None,None,-13300000000,None,-159000000,None,16436000000
GOOGL,2021-12-31,USD,24934000000,None,None,6066000000,6218000000,3439000000,6383000000,5819000000,5438000000,20642000000,-11016000000,-16511000000,None,13473000000,13473000000,None,None,None,None,None,None,None,-13473000000,None,-2593000000,None,20642000000
GOOGL,2021-09-30,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,1664000000,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000
GOOGL,2021-06-30,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,4005000000,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000
