symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
ADBE,2023-08-31,2023-09-14,4.09,3.98,0.11,2.7638
ADBE,2023-05-31,2023-06-15,3.91,3.79,0.12,3.1662
ADBE,2023-02-28,2023-03-15,3.8,3.68,0.12,3.2609
ADBE,2022-11-30,2022-12-15,3.6,3.5,0.1,2.8571
ADBE,2022-08-31,2022-09-15,3.4,3.33,0.07,2.1021
ADBE,2022-05-31,2022-06-16,3.35,3.31,0.04,1.2085
ADBE,2022-02-28,2022-03-22,3.37,3.34,0.03,0.8982
ADBE,2021-11-30,2021-12-16,3.2,3.2,0,0
ADBE,2021-08-31,2021-09-21,3.11,3.01,0.1,3.3223
ADBE,2021-05-31,2021-06-17,3.03,2.81,0.22,7.8292
ADBE,2021-02-28,2021-03-23,3.14,2.78,0.36,12.9496
ADP,2023-06-30,2023-07-26,1.89,1.83,0.06,3.2787
ADP,2023-03-31,2023-04-26,2.52,2.45,0.07,2.8571
ADP,2022-12-31,2023-01-25,1.96,1.94,0.02,1.0309
ADP,2022-09-30,2022-10-26,1.86,1.8,0.06,3.3333
ADP,2022-06-30,2022-07-27,1.5,1.46,0.04,2.7397
ADP,2022-03-31,2022-04-27,2.21,2.08,0.13,6.25
ADP,2021-12-31,2022-01-26,1.65,1.63,0.02,1.227
ADP,2021-09-30,2021-10-27,1.65,1.49,0.16,10.7383
ADP,2021-06-30,2021-07-28,1.2,1.14,0.06,5.2632
ADP,2021-03-31,2021-04-28,1.89,1.82,0.07,3.8462
ABNB,2023-06-30,2023-08-03,0.98,0.78,0.2,25.641
ABNB,2023-03-31,2023-05-09,0.18,0.09,0.09,100
ABNB,2022-12-31,2023-02-14,0.48,0.25,0.23,92
ABNB,2022-09-30,2022-11-01,1.79,1.47,0.32,21.7687
ABNB,2022-06-30,2022-08-02,0.56,0.43,0.13,30.2326
ABNB,2022-03-31,2022-05-03,-0.03,-0.29,0.26,89.6552
ABNB,2021-12-31,2022-02-15,0.08,0.03,0.05,166.6667
ABNB,2021-09-30,2021-11-04,1.22,0.75,0.47,62.6667
ABNB,2021-06-30,2021-08-12,-0.11,-0.47,0.36,76.5957
ABNB,2021-03-31,2021-05-13,-1.12,-1.17,0.05,4.2735
ALGN,2023-06-30,2023-07-26,2.22,2.03,0.19,9.3596
ALGN,2023-03-31,2023-04-26,1.82,1.68,0.14,8.3333
ALGN,2022-12-31,2023-02-01,1.73,1.56,0.17,10.8974
ALGN,2022-09-30,2022-10-26,1.36,2.18,-0.82,-37.6147
ALGN,2022-06-30,2022-07-27,2.0,2.23,-0.23,-10.3139
ALGN,2022-03-31,2022-04-27,2.13,2.22,-0.09,-4.0541
ALGN,2021-12-31,2022-02-02,2.83,2.71,0.12,4.428
ALGN,2021-09-30,2021-10-27,2.87,2.6,0.27,10.3846
ALGN,2021-06-30,2021-07-28,3.04,2.53,0.51,20.1581
ALGN,2021-03-31,2021-04-28,2.49,2.02,0.47,23.2673
GOOGL,2023-06-30,2023-07-25,1.44,1.34,0.1,7.4627
GOOGL,2023-03-31,2023-04-25,1.17,1.07,0.1,9.3458
GOOGL,2022-12-31,2023-02-02,1.05,1.18,-0.13,-11.0169
GOOGL,2022-09-30,2022-10-25,1.06,1.25,-0.19,-15.2
GOOGL,2022-06-30,2022-07-26,1.21,1.28,-0.07,-5.4688
GOOGL,2022-03-31,2022-04-26,1.23,1.3,-0.07,-5.3846
GOOGL,2021-12-31,2022-02-01,1.53,1.37,0.16,11.6788
GOOGL,2021-09-30,2021-10-26,1.4,1.17,0.23,19.6581
GOOGL,2021-06-30,2021-07-27,1.36,0.97,0.39,40.2062
GOOGL,2021-03-31,2021-04-27,1.31,0.79,0.52,65.8228
GOOG,2023-06-30,2023-07-25,1.44,1.34,0.1,7.4627
GOOG,2023-03-31,2023-04-25,1.17,1.06,0.11,10.3774
GOOG,2022-12-31,2023-02-02,1.05,1.19,-0.14,-11.7647
GOOG,2022-09-30,2022-10-25,1.06,1.25,-0.19,-15.2
GOOG,2022-06-30,2022-07-26,1.21,1.3,-0.09,-6.9231
GOOG,2022-03-31,2022-04-26,1.23,1.29,-0.06,-4.6512
GOOG,2021-12-31,2022-02-01,1.53,1.38,0.15,10.8696
GOOG,2021-09-30,2021-10-26,1.4,1.17,0.23,19.6581
GOOG,2021-06-30,2021-07-27,1.36,0.96,0.4,41.6667
GOOG,2021-03-31,2021-04-27,1.31,0.79,0.52,65.8228
AMZN,2023-06-30,2023-08-03,0.65,0.35,0.3,85.7143
AMZN,2023-03-31,2023-04-27,0.31,0.21,0.1,47.619
AMZN,2022-12-31,2023-02-02,0.25,0.18,0.07,38.8889
AMZN,2022-09-30,2022-10-27,0.17,0.22,-0.05,-22.7273
AMZN,2022-06-30,2022-07-28,0.18,0.14,0.04,28.5714
AMZN,2022-03-31,2022-04-28,0.37,0.42,-0.05,-11.9048
AMZN,2021-12-31,2022-02-03,0.29,0.18,0.11,61.1111
AMZN,2021-09-30,2021-10-28,0.31,0.45,-0.14,-31.1111
AMZN,2021-06-30,2021-07-29,0.76,0.62,0.14,22.5806
AMZN,2021-03-31,2021-04-29,0.79,0.48,0.31,64.5833
AMD,2023-06-30,2023-08-01,0.58,0.57,0.01,1.7544
AMD,2023-03-31,2023-05-02,0.6,0.56,0.04,7.1429
AMD,2022-12-31,2023-01-31,0.69,0.67,0.02,2.9851
AMD,2022-09-30,2022-11-01,0.67,0.68,-0.01,-1.4706
AMD,2022-06-30,2022-08-02,1.05,1.03,0.02,1.9417
AMD,2022-03-31,2022-05-03,1.13,0.91,0.22,24.1758
AMD,2021-12-31,2022-02-01,0.92,0.76,0.16,21.0526
AMD,2021-09-30,2021-10-26,0.73,0.67,0.06,8.9552
AMD,2021-06-30,2021-07-27,0.63,0.54,0.09,16.6667
AMD,2021-03-31,2021-04-27,0.52,0.44,0.08,18.1818
AEP,2023-06-30,2023-07-27,1.13,1.12,0.01,0.8929
AEP,2023-03-31,2023-05-04,1.11,1.12,-0.01,-0.8929
AEP,2022-12-31,2023-02-23,1.05,0.99,0.06,6.0606
AEP,2022-09-30,2022-10-27,1.62,1.56,0.06,3.8462
AEP,2022-06-30,2022-07-27,1.2,1.19,0.01,0.8403
AEP,2022-03-31,2022-04-28,1.22,1.2,0.02,1.6667
AEP,2021-12-31,2022-02-24,0.98,0.93,0.05,5.3763
AEP,2021-09-30,2021-10-28,1.43,1.46,-0.03,-2.0548
AEP,2021-06-30,2021-07-22,1.18,1.14,0.04,3.5088
AEP,2021-03-31,2021-04-22,1.15,1.17,-0.02,-1.7094
AMGN,2023-06-30,2023-08-03,5.0,4.49,0.51,11.3586
AMGN,2023-03-31,2023-04-27,3.98,3.85,0.13,3.3766
AMGN,2022-12-31,2023-01-31,4.09,4.1,-0.01,-0.2439
AMGN,2022-09-30,2022-11-03,4.7,4.44,0.26,5.8559
AMGN,2022-06-30,2022-08-04,4.65,4.4,0.25,5.6818
AMGN,2022-03-31,2022-04-27,4.25,4.09,0.16,3.912
AMGN,2021-12-31,2022-02-07,4.36,4.08,0.28,6.8627
AMGN,2021-09-30,2021-11-02,4.67,4.27,0.4,9.3677
AMGN,2021-06-30,2021-08-03,4.38,4.09,0.29,7.0905
AMGN,2021-03-31,2021-04-27,3.7,4.05,-0.35,-8.642
ADI,2023-07-31,2023-08-23,2.49,2.52,-0.03,-1.1905
ADI,2023-04-30,2023-05-24,2.83,2.75,0.08,2.9091
ADI,2023-01-31,2023-02-15,2.75,2.6,0.15,5.7692
ADI,2022-10-31,2022-11-22,2.73,2.58,0.15,5.814
ADI,2022-07-31,2022-08-17,2.52,2.43,0.09,3.7037
ADI,2022-04-30,2022-05-18,2.4,2.11,0.29,13.7441
ADI,2022-01-31,2022-02-16,1.94,1.78,0.16,8.9888
ADI,2021-10-31,2021-11-23,1.73,1.7,0.03,1.7647
ADI,2021-07-31,2021-08-18,1.72,1.63,0.09,5.5215
ADI,2021-04-30,2021-05-19,1.54,1.45,0.09,6.2069
ADI,2021-01-31,2021-02-17,1.44,1.32,0.12,9.0909
ANSS,2023-06-30,2023-08-02,1.6,1.49,0.11,7.3826
ANSS,2023-03-31,2023-05-03,1.85,1.61,0.24,14.9068
ANSS,2022-12-31,2023-02-22,3.09,2.8,0.29,10.3571
ANSS,2022-09-30,2022-11-02,1.77,1.63,0.14,8.589
ANSS,2022-06-30,2022-08-03,1.77,1.6,0.17,10.625
