symbol,date,1. open,2. high,3. low,4. close,5. volume
ADBE,2023-10-06,508.24,531.31,504.55,526.68,10788029
ADBE,2023-09-29,511.45,518.58,498.6955,509.9,13422538
ADBE,2023-09-22,524.23,548.85,508.83,512.9,14216011
ADBE,2023-09-15,562.0,565.4302,523.616,528.89,24071043
ADBE,2023-09-08,557.88,570.2399,551.075,560.36,9004286
ADBE,2023-09-01,525.7,569.98,523.98,563.21,11934752
ADBE,2023-08-25,510.29,539.67,510.29,525.06,11520210
ADBE,2023-08-18,506.78,525.49,503.9,508.13,10014031
ADBE,2023-08-11,530.0,532.58,506.37,508.45,10080001
ADBE,2023-08-04,541.87,552.94,522.12,526.88,13965466
ADBE,2023-07-28,520.0,530.32,510.44,528.87,12939300
ADBE,2023-07-21,513.0,539.0,512.38,520.23,21487806
ADBE,2023-07-14,485.27,523.785,485.11,514.83,14577363
ADBE,2023-07-07,486.39,490.42,475.0,485.27,8108605
ADBE,2023-06-30,483.01,492.81,479.05,488.99,14092453
ADBE,2023-06-23,485.63,495.55,472.32,484.72,18680285
ADBE,2023-06-16,463.705,518.74,459.42,495.18,42519286
ADBE,2023-06-09,433.01,466.59,417.7425,454.0,24561904
ADBE,2023-06-02,429.94,438.5308,410.701,436.37,19193089
ADBE,2023-05-26,371.25,416.36,361.72,415.39,23124910
ADBE,2023-05-19,337.35,372.08,333.01,371.25,16202912
ADBE,2023-05-12,348.0,351.995,331.89,335.45,14863908
ADBE,2023-05-05,376.51,378.72,332.84,348.4,21732151
ADBE,2023-04-28,376.59,378.95,357.25,377.56,11113185
ADBE,2023-04-21,379.61,382.995,374.4875,377.67,8765196
ADBE,2023-04-14,375.48,380.57,368.35,379.38,9789364
ADBE,2023-04-06,380.88,386.0,375.99,380.6,9396022
ADBE,2023-03-31,376.51,385.73,367.82,385.37,12312994
ADBE,2023-03-24,357.61,377.3299,355.35,374.96,18438486
ADBE,2023-03-17,329.42,360.63,323.29,358.14,26355414
ADBE,2023-03-10,344.33,352.165,328.445,329.3,15778525
ADBE,2023-03-03,322.02,344.76,320.7,344.04,16164657
ADBE,2023-02-24,350.78,353.8,318.6,320.54,17200952
ADBE,2023-02-17,373.41,381.67,352.12,356.85,12349188
ADBE,2023-02-10,376.21,387.28,367.08,370.99,11625619
